Customer_id,First_name,Last_namePhone,,EmAIL,Street,City,State,Zip_code
19901,Debra,Burks,NULL,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127
199010,Pamelia,Newman,NULL,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950
1990100,Kellie,Franco,NULL,kellie.franco@yahoo.com,444 South Walnut Rd. ,Commack,NY,11725
19901000,Shiloh,Reeves,NULL,shiloh.reeves@msn.com,818 Kirkland Lane ,West Babylon,NY,11704
19901001,Lee,Roman,(631) 913-6967,lee.roman@gmail.com,4 Canal Ave. ,Brentwood,NY,11717
19901002,Cami,Williamson,NULL,cami.williamson@hotmail.com,9511A Windsor Drive ,Massapequa,NY,11758
19901003,Sharell,Ross,NULL,sharell.ross@msn.com,7830 Devonshire Ave. ,Vista,CA,92083
19901004,Jerald,Blackwell,NULL,jerald.blackwell@hotmail.com,8364 South Wakehurst Ave. ,East Elmhurst,NY,11369
19901005,Ruthanne,Franco,NULL,ruthanne.franco@yahoo.com,61 Applegate St. ,Astoria,NY,11102
19901006,Marjory,Leonard,NULL,marjory.leonard@msn.com,800 Greystone Lane ,Apple Valley,CA,92307
19901007,Jimmy,Russell,NULL,jimmy.russell@hotmail.com,33 Iroquois Ave. ,Howard Beach,NY,11414
19901008,Berneice,Pollard,NULL,berneice.pollard@hotmail.com,607 Bohemia Street ,Forney,TX,75126
19901009,Deangelo,Cooley,NULL,deangelo.cooley@aol.com,3 NE. Edgewood Rd. ,Rosedale,NY,11422
1990101,Nichelle,Howell,NULL,nichelle.howell@aol.com,7670 Forest St. ,Scarsdale,NY,10583
19901010,Katia,Henry,NULL,katia.henry@msn.com,69 E. Columbia Ave. ,Bethpage,NY,11714
19901011,Sebrina,Gross,NULL,sebrina.gross@yahoo.com,993 Glendale Drive ,Garland,TX,75043
19901012,Josephine,Dale,NULL,josephine.dale@aol.com,8214 West Drive ,Baldwinsville,NY,13027
19901013,Alma,Peck,NULL,alma.peck@aol.com,298 South Bay Meadows Drive ,Corona,NY,11368
19901014,Ling,Newman,NULL,ling.newman@msn.com,832 Spring Road ,South Richmond Hill,NY,11419
19901015,Nichelle,Rosario,NULL,nichelle.rosario@hotmail.com,709 Dunbar Ave. ,Garden City,NY,11530
19901016,Shenna,Benton,(212) 578-2912,shenna.benton@msn.com,57 Shadow Brook Road ,New York,NY,10002
19901017,Philip,Bryan,(510) 533-4262,philip.bryan@hotmail.com,914 Devonshire Court ,Oakland,CA,94603
19901018,Carita,Salinas,NULL,carita.salinas@yahoo.com,90 Griffin Street ,Maspeth,NY,11378
19901019,Janie,Herrera,NULL,janie.herrera@gmail.com,652 Westport Street ,Elmhurst,NY,11373
